record_id,document_id,page_id,printed_page,document_title,attributed_contributor,document_date,language,repo_commit,project_ocr_status,curation_status,segment_role,annotation_input_scope,hersch_reference_status,outside_hersch_status,agent_verified_transcription_path,agent_verified_transcription_sha256,verification_activity,verification_responsible_role,human_source_review_status,sample_annotation_path,sample_annotation_sha256,sample_annotation_activity,sample_annotation_verification_role,sample_annotation_source_check_status,local_pdf_path,local_image_path,public_image_url,local_reference_text_path,public_reference_text_url,public_viewer_url,segment_start_inclusive,segment_end_exclusive,rights_status,rights_note,sha256_image,sha256_reference_text
doc1000-p003,1000,1000_p003,965,TRANSFORMER L'ÉCOLE OU LA SUPPRIMER ?,multiple adjacent contributions,1973,fra,1115ed24cbaf97a64093d9b0e839271b60a2d950,unverifiziert,uncurated,full-page-with-hersch-start,full-page,agent_verified_unchecked,unverifiziert,workshops/clariah-at-2026/examples/transcription-agent-verified.md,3609EDE679C1C7D957521EA08C602E60A3796C6C1A818C31C0BB197EA2470A7E,agentic_visual_and_automated_quote_page_and_segment_check,gpt-5.6-sol_agentic_checker,not_performed,workshops/clariah-at-2026/examples/annotation-example.json,58AA5B80B42B09B53F384DBBD527CE2642CB733D909BC9B26483967805ADA5E3,agentic_source_anchor_and_schema_check,gpt-5.6-sol_agentic_checker,unchecked,data/source/pdf/1000.pdf,docs/images/1000/1000_p003.png,https://chpollin.github.io/zbz-ocr-tei/images/1000/1000_p003.png,docs/data/pages/1000/1000_p3.md,https://chpollin.github.io/zbz-ocr-tei/data/pages/1000/1000_p3.md,https://chpollin.github.io/zbz-ocr-tei/viewer.html?doc=1000,"L'ÉCOLE, LIEU DE RENCONTRE DE MÉMOIRE ET D'INVENTION","POURQUOI IVAN ILLICH VEUT-IL DÉSCOLARISER LA SOCIÉTÉ ?",zu prüfen,"Öffentliche Erreichbarkeit belegt keine freie Nachnutzung; institutionelle Rechteklärung vor Weitergabe oder Neuveröffentlichung erforderlich.",B79C3C80D559D5B54608BE0E22BB3F7A54AB710950C16DB3D2433B1456112A52,13619C5462A169643BA7F8A7C409B957F708AA8B5EAFF75B4FDA7C26E119EC94
doc1000-p004,1000,1000_p004,966,TRANSFORMER L'ÉCOLE OU LA SUPPRIMER ?,multiple adjacent contributions,1973,fra,1115ed24cbaf97a64093d9b0e839271b60a2d950,unverifiziert,uncurated,full-page-with-hersch-end,full-page,agent_verified_unchecked,unverifiziert,workshops/clariah-at-2026/examples/transcription-agent-verified.md,3609EDE679C1C7D957521EA08C602E60A3796C6C1A818C31C0BB197EA2470A7E,agentic_visual_and_automated_quote_page_and_segment_check,gpt-5.6-sol_agentic_checker,not_performed,workshops/clariah-at-2026/examples/annotation-example.json,58AA5B80B42B09B53F384DBBD527CE2642CB733D909BC9B26483967805ADA5E3,agentic_source_anchor_and_schema_check,gpt-5.6-sol_agentic_checker,unchecked,data/source/pdf/1000.pdf,docs/images/1000/1000_p004.png,https://chpollin.github.io/zbz-ocr-tei/images/1000/1000_p004.png,docs/data/pages/1000/1000_p4.md,https://chpollin.github.io/zbz-ocr-tei/data/pages/1000/1000_p4.md,https://chpollin.github.io/zbz-ocr-tei/viewer.html?doc=1000,"L'ÉCOLE, LIEU DE RENCONTRE DE MÉMOIRE ET D'INVENTION","POURQUOI IVAN ILLICH VEUT-IL DÉSCOLARISER LA SOCIÉTÉ ?",zu prüfen,"Öffentliche Erreichbarkeit belegt keine freie Nachnutzung; institutionelle Rechteklärung vor Weitergabe oder Neuveröffentlichung erforderlich.",AB2E3F5CEC28BC080E49F8754E40C1E2B669F64C282FF463ECBA909C32C4B8C0,FEAD6AE1690298293F21581706E667674BEEC9A61B39B398B822A5DE19C0E979
